Intersection,Borough,score
Junius Street,Brooklyn,0.5714285714285714
25 Avenue,Queens,0.5714285714285714
PARKINSON AVENUE,Staten Island,0.5714285714285714
SUMMIT ST,Brooklyn,0.5714285714285714
Beech Avenue,Queens,0.5714285714285714
East 93 Street,Brooklyn,0.5714285714285714
E 196 ST,Bronx,0.5714285714285714
CASTLETON AV,Staten Island,0.5714285714285714
PAGE AV,Staten Island,0.5714285714285714
Ainsworth Avenue,Staten Island,0.5714285714285714
COLON STREET,Staten Island,0.5714285714285714
Bamberger Lane,Staten Island,0.5714285714285714
BEEKMAN PL,Brooklyn,0.5714285714285714
208 PL,Queens,0.5714285714285714
Suffolk Avenue,Staten Island,0.5714285714285714
LIVINGSTON AVENUE,Staten Island,0.5714285714285714
S/B EASTCHESTER BRIDGE @ NOELL AVE -,Bronx,0.5714285714285714
ROSE AV,Staten Island,0.5714285714285714
COURT ST,Brooklyn,0.5714285714285714
BRONXWOOD AV,Bronx,0.5714285714285714
WICKHAM AV,Bronx,0.5714285714285714
CLINTON ST,Brooklyn,0.5714285714285714
EAST DR,Manhattan,0.5714285714285714
EDENWALD AV,Bronx,0.5714285714285714
OLD FULTON STREET,Brooklyn,0.5714285714285714
GOLD ST,Brooklyn,0.5714285714285714
Grand Central Parkway,Queens,0.5714285714285714
BRYANT AV,Bronx,0.5714285714285714
East 95 Street,Brooklyn,0.5555555555555556
Amtrak-northeast Line,Manhattan,0.5555555555555556
Simonson Avenue,Staten Island,0.5555555555555556
West 24 Street,Manhattan,0.5555555555555556
West 42 Street,Manhattan,0.5555555555555556
NASSAU AV,Brooklyn,0.5555555555555556
Prospect Expressway,Brooklyn,0.5555555555555556
CPW 72 APPROACH,Manhattan,0.5555555555555556
BEACH CHANNEL DR,Queens,0.5555555555555556
Morgan Avenue,Brooklyn,0.5555555555555556
New Lots Line,Brooklyn,0.5555555555555556
ANTHONY STREET,Brooklyn,0.5555555555555556
EASTERN BLVD BR,Bronx,0.5555555555555556
BQE WESTBOUND EXIT 27,Brooklyn,0.5555555555555556
Thames Street,Brooklyn,0.5454545454545454
Bay 46 Street,Brooklyn,0.5454545454545454
33 ST,Queens,0.5454545454545454
FORD ST,Brooklyn,0.5454545454545454
GRAND ARMY PLZ,Brooklyn,0.5454545454545454
Bay 37 Street,Brooklyn,0.5454545454545454
HUTCH RIVER PKWY E,Bronx,0.5454545454545454
Bay 23 Street,Brooklyn,0.5454545454545454
Beadel Street,Brooklyn,0.5454545454545454
MOUNT MORRIS PARK W,Manhattan,0.5454545454545454
FLATLANDS AV,Brooklyn,0.5384615384615384
46 AVENUE,Queens,0.5384615384615384
East 187 Street,Bronx,0.5333333333333333
East 189 Street,Bronx,0.5333333333333333
East 234 Street,Bronx,0.5333333333333333
Castleton Avenue,Staten Island,0.5333333333333333
East 240 Street,Bronx,0.5333333333333333
East 168 Street,Bronx,0.5333333333333333
10 ST,Brooklyn,0.5333333333333333
KLONDIKE AV,Staten Island,0.5333333333333333
KISSENA BLVD,Queens,0.5263157894736842
ROCKAWAY BLVD WB APPROACH ING 101ST ST,Queens,0.5
N/B CROSS BAY BLVD @ ALBERT RD (SLIP),Queens,0.5
FORBELL STREET,Brooklyn,0.5
132 STREET,Queens,0.5
31 RD,Queens,0.5
BARTLETT ST,Brooklyn,0.5
W/B SENECA AVE @ HIMROD ST,Queens,0.5
OAK AVENUE,Queens,0.5
S/B MARSH AVE @ S. I. MALL DR,Staten Island,0.5
BRUSH AVENUE,Bronx,0.5
BARRETTO STREET,Bronx,0.5
W/B N 8 ST @ WYTHE AVE,Brooklyn,0.5
W/B S 6 ST @ WYTHE AVE,Brooklyn,0.5
W/B S 4 ST @ WYTHE AVE,Brooklyn,0.5
W/B DEWEY AVE @ GREAVES AVE,Staten Island,0.5
N/B 5 AVE (N LEG) @ W 141 ST,Manhattan,0.5
MAJOR DEEGAN EXPWY ET 3 SB,Bronx,0.5
W/B CASTLETON AVE @ OAKLAND AVE,Staten Island,0.5
WALTON AVENUE,Bronx,0.5
47 RD,Queens,0.5
UTICA AVE NB APPROACH TO FLATLANDS AVE,Brooklyn,0.5
W 17TH STREET BET NEPTUNE & MERMAID AVES,Brooklyn,0.5
SB STILLWELL AVE APPROACH MERMAID AVE,Brooklyn,0.5
W/B MASPETH AVE @ KINGSLAND AVE,Brooklyn,0.5
W 155TH ST EB&WB WEST OF HARLEM RIVER DRIVE,Manhattan,0.5
BEACH 37 STREET,Queens,0.5
MT MORRIS PARK W BET W 120TH ST & W 121ST ST,Manhattan,0.5
AV U,Brooklyn,0.5
BEACH 38 STREET,Queens,0.5
DELAFIELD AVENUE,Staten Island,0.5
Avenue L,Brooklyn,0.5
PINE ST,Brooklyn,0.5
QUEENS ST,Queens,0.5
PITKIN AV/LINCOLN AV,Brooklyn,0.5
RUBY ST,Brooklyn,0.5
WINDSOR PL/TERRACE PL,Brooklyn,0.5
114 STREET,Queens,0.5
E 240 ST/NEREID AV,Bronx,0.5
AQUATIC DR,Queens,0.5
Nassau Avenue,Brooklyn,0.5
200 ST,Queens,0.5
Avenue K,Brooklyn,0.5
W/B QUEENSBORO BR NORTH UPPER RDWY,Queens,0.5
EAST 28 STREET,Brooklyn,0.5
WEST 207 STREET,Manhattan,0.5
S/B 11 ST @ 44 AVE,Queens,0.5
INT RMP,Queens,0.5
S/B SPRINGFIELD BLVD @ 145 RD,Queens,0.5
BX PARK EAST SB APPROACH TO ALLERTON AVE,Bronx,0.5
NORTH 14 STREET,Brooklyn,0.5
Driggs Avenue,Brooklyn,0.5
CRANE ST,Queens,0.5
FORREST ST,Brooklyn,0.5
CHURCH ST,Manhattan,0.5
BAY 35 ST,Brooklyn,0.5
24 AV,Brooklyn,0.5
EAST 174 STREET,Bronx,0.5
E/B E 174 ST BRIDGE @ BRONX RIVER AVE,Bronx,0.5
RALPH AVE S/O CLARENDON RD,Brooklyn,0.5
149 STREET,Queens,0.5
EAST 93 STREET,Brooklyn,0.5
72 AV,Queens,0.5
63rd RD APPROACH TO 110th ST,Queens,0.5
N/B SHARROTTS RD @ ARTHUR KILL RD,Staten Island,0.5
E/B LIE SERVICE ROAD @ CITY LINE,Queens,0.5
W/B 109 AVE @ SPRINGFIELD BLVD,Queens,0.5
FDR DR NB EN BK BR,Manhattan,0.5
E 233RD ST BET DE REIMER & BAYCHESTER AVES,Bronx,0.5
S/B 12 AVE @ 70 ST,Brooklyn,0.5
W/B FOSTER AVE @ E 43 ST,Brooklyn,0.5
W/B AVE T @ PEARSON ST,Brooklyn,0.5
E 165TH ST APPROACH TO GRAND CONCOURSE BLVD,Bronx,0.5
WEST STREET,Manhattan,0.5
E 233RD ST BET GEORGE PL &PRATT AVE,Bronx,0.5
44TH DR BET THOMSON ST & JACKSON AVE,Queens,0.5
29 STREET,Queens,0.5
W 148 ST,Manhattan,0.5
LYDIG AV,Bronx,0.5
WOODHULLE AV,Staten Island,0.5
HORATIO ST,Manhattan,0.5
S/B FRESH POND ROAD @ 60 ROAD,Queens,0.5
E/B 9 STREET BRIDGE @ SMITH ST - 2 AVE,Brooklyn,0.5
S/B E 4 ST @ AVE V,Brooklyn,0.5
N/B ROCKAWAY BLVD @ 97 AVE,Queens,0.5
BAY PARKWAY NB APPROACH TO BATH AVE,Brooklyn,0.5
S/B 5TH AVE @ E 23RD ST,Manhattan,0.5
FREEMAN ST BET VYSE AND BRYANT AVE,Bronx,0.5
E 172ND ST BET VYSE & BRYANT AVES,Bronx,0.5
E173RD ST&BRYANT AVE EB AP BT VYSE & BRYANT AVES,Bronx,0.5
HOME ST BET VYSE & BRYANT AVES,Bronx,0.5
JENNING ST BET VYSE & BRYANT AVES,Bronx,0.5
EAST 94 STREET,Brooklyn,0.5
GREENWICH ST/9 AV,Manhattan,0.5
22 Road,Queens,0.5
W/B 35 AVE @ 30 ST,Queens,0.5
E/B NASSAU AVE @ LEONARD ST,Brooklyn,0.5
W/B NASSAU AVE @ MANHATTAN AVE,Brooklyn,0.5
ROCKAWAY BLVD NB APPROACH TO INWOOD STREET,Queens,0.5
S/B DECKER AVE @ PLAMER AVE,Staten Island,0.5
E/B  HYLAND BLVD @ ALISON AVE,Staten Island,0.5
E/B  HYLAND BLVD ( E/LEG)  @ ALISON AVE,Staten Island,0.5
W/B LIBERTY AVE @ POWELL ST,Brooklyn,0.5
N/B E 43 ST @ FOSTER AVE,Brooklyn,0.5
BQE EASTBOUND ENTRANCE SANDS ST,Brooklyn,0.5
W/B AVE V @ E 3 ST,Brooklyn,0.5
BEACH CHANNEL DR APPROACH TO BEACH 136TH ST,Queens,0.5
E/B CORTELYOU RD @ CONEY ISLAND AVE,Brooklyn,0.5
E/B CORTELYOU RD(E LEG)@CONEY ISLAND AVE,Brooklyn,0.5
S/B PELHAM BRIDGE @  BRUCKNER EXPWY,Bronx,0.5
E/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,Bronx,0.5
BERGEN STREET,Brooklyn,0.5
N/B BRONX RIVER PKWY @ SOUTH OF -,Bronx,0.5
S/B 30 ST @ 35 AVE,Queens,0.5
E/B 63 RD @ 97 ST,Queens,0.5
63rd RD EB APPR TO 97th ST,Queens,0.5
62nd DR WB APPR TO 97th ST,Queens,0.5
SHORE FRONT PKWY,Queens,0.5
109 AV,Queens,0.5
Rockaway Beach Boulevard,Queens,0.5
Beach Channel Drive,Queens,0.5
MIDLAND AV,Staten Island,0.5
7 AV/C P 7 AV APPR,Manhattan,0.5
PURVIS ST,Queens,0.5
CLAY AV,Bronx,0.5
PAYSON AV,Manhattan,0.5
N 12 ST,Brooklyn,0.5
WALLABOUT ST/FRANKLIN AV,Brooklyn,0.5
LEE AV/NOSTRAND AV,Brooklyn,0.5
GARNET ST,Brooklyn,0.5
KENILWORTH AV,Staten Island,0.5
FRESH POND RD,Queens,0.5
SUTTER AV,Queens,0.5
N/B PROSPECT PK S/W(N LEG)@TERR./WIND.PL,Brooklyn,0.5
W/B PARK LANE SOUTH @ 89 ST,Queens,0.5
N/B 79 PL @ COOPER AVE,Queens,0.5
S/B 164 ST @ JEWEL AVE,Queens,0.5
94TH ST APPROACH TO ROCKAWAY BLVD,Queens,0.5
PARKSIDE AVE DEPARTURE FROM OCEAN AVE,Brooklyn,0.5
E/B PARK LANE SOUTH @ 105 ST,Queens,0.5
W/B PARK LANE SOUTH @ 104 ST,Queens,0.5
B 77 ST,Queens,0.5
WASHINGTON AVE SB APPROACH TO EMPIRE BLVD,Brooklyn,0.5
WASHINGTON AVE NB APPROACH TO EMPIRE BLVD,Brooklyn,0.5
GOWANUS EXPRESSWAY,Brooklyn,0.5
FIELDWAY AV,Staten Island,0.48148148148148145
CANAL ST,Manhattan,0.4782608695652174
NEPTUNE AV,Brooklyn,0.47058823529411764
29 RD,Queens,0.4666666666666667
WHITESTONE EXWY NB EXIT 14,Queens,0.4666666666666667
Henry Street,Brooklyn,0.4666666666666667
56 ST,Queens,0.46153846153846156
102 ST,Queens,0.46153846153846156
BOWNE STREET,Queens,0.46153846153846156
TROY AVE,Brooklyn,0.46153846153846156
LEGGETT AV,Bronx,0.46153846153846156
DUTCH KILLS STREET,Queens,0.46153846153846156
BARRETTO ST,Bronx,0.46153846153846156
ARNOW AV,Bronx,0.4583333333333333
LEONARD ST,Brooklyn,0.45454545454545453
N/B MCGUINNESS BLVD @ NORMAN AVE,Brooklyn,0.45454545454545453
LOUIS ST,Staten Island,0.45454545454545453
RAYMOND AV,Staten Island,0.45454545454545453
SANDS ST,Brooklyn,0.45454545454545453
PRINCETON AV,Staten Island,0.45454545454545453
BX RIVER PKWY NB EXIT 6,Bronx,0.45454545454545453
105 ST,Queens,0.45454545454545453
FAIRVIEW AV,Staten Island,0.45454545454545453
HODGES PL,Staten Island,0.45454545454545453
SEAVER AV,Staten Island,0.45161290322580644
HULL AV,Staten Island,0.45161290322580644
MIDLAND AVE BET GRANT PL & HYLAN BLVD,Staten Island,0.45161290322580644
TODT HILL RD,Staten Island,0.45
YATES AV,Bronx,0.4444444444444444
BARNES AV,Bronx,0.4444444444444444
VANDERBILT AVENUE,Staten Island,0.4444444444444444
BEACH 20 STREET,Queens,0.4444444444444444
YORK AVE BET E 76TH ST & E 77TH ST,Manhattan,0.4444444444444444
TOTTEN ST,Staten Island,0.4444444444444444
TENBROECK AV,Bronx,0.4444444444444444
BERRY ST,Brooklyn,0.4444444444444444
S/B KINGS COLLEGE PL @ EAST GUN HILL RD,Bronx,0.4444444444444444
S/B CEN. PK EXT TO 7 AVE @ CENT. PK S,Manhattan,0.4444444444444444
MONTROSE AV,Brooklyn,0.4444444444444444
TOMLINSON AVENUE,Bronx,0.4444444444444444
STEINWAY STREET,Queens,0.4444444444444444
5 AV/E 40 ST,Manhattan,0.4444444444444444
CANEY RD,Queens,0.4444444444444444
WANAMAKER PLACE,Manhattan,0.4444444444444444
WYCKOFF AVE BET GATES & MYRTLE AVES,Brooklyn,0.4444444444444444
MYRTLE AVE BET GATES & WYCKOFF AVES,Brooklyn,0.4444444444444444
S/B CLASSON AVE @ GATES AVE,Brooklyn,0.4444444444444444
MCGUINNESS BLVD SB APPR BET KENT & GREENPOINT,Brooklyn,0.4444444444444444
MCGUINNESS BLVD NB APPR BET CALYER AND GREENPOINT,Brooklyn,0.4444444444444444
ELIZABETH ST,Staten Island,0.44
HENRY HUDSON PKWY SB RAMP TO W 95TH ST,Manhattan,0.4375
W 86 ST/86 ST TRANSVERSE,Manhattan,0.4375
Greene Avenue,Brooklyn,0.4375
W/B JEWEL AVE (W LEG) @ 164 ST,Queens,0.4375
W/B JEWEL AVE (W LWG) @ 164 ST,Queens,0.4375
97 ST TRANSVERSE/W 97 ST,Manhattan,0.4375
CPW 72 APPR/W 72 ST,Manhattan,0.42857142857142855
Newel Street,Brooklyn,0.42857142857142855
PECK AV,Queens,0.42857142857142855
S/B WYTHE AVE @ S 4 ST,Brooklyn,0.42857142857142855
BQE WESTBOUND EXIT 32 A,Brooklyn,0.42857142857142855
W 124 ST,Manhattan,0.42857142857142855
55 ST,Brooklyn,0.42857142857142855
N/B KNAPP ST @ HARKNESS AVE,Brooklyn,0.42857142857142855
NEW DORP PLZ,Staten Island,0.42105263157894735
WHITESTONE EXWY NB EXIT 15,Queens,0.42105263157894735
WHE SB EN ULMER ST,Queens,0.42105263157894735
COLONIAL AVE APPROACHING PELHAM PKWY SO,Bronx,0.4166666666666667
BURR AVE BET PELHAM PKWY S & 196TH ST,Bronx,0.4166666666666667
ST PAULS AVE APPROACHING PELHAM PKWY SO,Bronx,0.4166666666666667
Front Street,Brooklyn,0.4166666666666667
VISTA AV,Staten Island,0.4166666666666667
GRAND CENTRAL PKWY WB EN 94 ST,Queens,0.4166666666666667
JOHN ST,Brooklyn,0.4166666666666667
FRONT ST,Manhattan,0.4146341463414634
DUFFIELD ST,Brooklyn,0.4117647058823529
S/B CLASSON AVE @ FULTON ST,Brooklyn,0.4117647058823529
NASSAU ST,Manhattan,0.4117647058823529
73 AV,Queens,0.4117647058823529
N/B WHITESTONE EXPWY BRIDGE,Queens,0.4117647058823529
7TH AVE NB APPROACH TO 9TH ST,Brooklyn,0.4
8TH AVE APPROACH TO 9TH ST,Brooklyn,0.4
***ATR was moved s/o 83rd Rd because it was impossible to install on approach to Clarendon (block is too short),Brooklyn,0.4
DE REIMER AV,Bronx,0.4
SULLIVAN PL,Brooklyn,0.4
ROCKAWAY B BLVD,Queens,0.4
Brooklyn Queens Expwy Et 26 Wb,Brooklyn,0.4
196 Street,Queens,0.4
LAURELTON PKWY,Queens,0.4
N/B KELLY BLVD @ TRAVIS AVE,Staten Island,0.4
Rose Avenue,Queens,0.4
CROPSEY AV/NEPTUNE AV,Brooklyn,0.4
OLIVE ST,Brooklyn,0.4
BRE EB EXIT 8 C,Bronx,0.4
Raymond Place,Staten Island,0.4
Cross Bronx Expwy Et 6 A Eb,Bronx,0.4
PRATT AV,Bronx,0.4
CLARENDON RD/DITMAS AV,Brooklyn,0.4
BEACH 135 ST,Queens,0.4
Loring Avenue,Brooklyn,0.4
SILVER ST @ E TREMONT AVE,Bronx,0.4
S/B WESTCHESTER AVE @ E TREMONT AVE,Bronx,0.4
PELTON AV,Staten Island,0.4
220 ST,Queens,0.4
Wythe Avenue,Brooklyn,0.4
LORIMER STREET,Brooklyn,0.4
HARLEM RIVER DRIVE,Manhattan,0.4
JEWEL AV,Queens,0.4
LIE EB EXIT 29,Queens,0.4
JUNIUS ST,Brooklyn,0.4
ELMWOOD PARK DR,Staten Island,0.4
TUDOR ST,Staten Island,0.4
BRONX RIVER GREENWAY,Bronx,0.4
S/B 130 ST @ 111 AVE,Queens,0.4
S/B SPRINGFIELD BLVD @ 109 AVE,Queens,0.4
N/B MCGUINNESS BLVD @ NASSAU AVE,Brooklyn,0.4
BEACH 41 STREET,Queens,0.4
PACIFIC ST,Brooklyn,0.4
BOWNE ST,Queens,0.4
W/B 60 ROAD @ FRESH POND ROAD,Queens,0.4
W/B METROPOLITAN AVE @ FRESH POND RD,Queens,0.4
43 RD,Queens,0.4
Cherry Avenue,Queens,0.4
BAISLEY AV,Bronx,0.4
W/B DIX AVE @ BEACH CHANNEL DR,Queens,0.4
Porter Avenue,Brooklyn,0.4
BAY RIDGE AV,Brooklyn,0.4
HHP NB EN W 79 ST WB,Manhattan,0.4
HHP SB EN W 79 ST,Manhattan,0.4
112 ST,Queens,0.4
OLD FULTON ST,Brooklyn,0.3953488372093023
SANFORD AV,Queens,0.39473684210526316
COURT PL,Staten Island,0.39285714285714285
E/B JEFFERSON AVE @  N RAILROAD AVE,Staten Island,0.39285714285714285
W/B RICHMOND RD (W LEG) @ MIDLAND AVE,Staten Island,0.39285714285714285
CLAWSON ST,Staten Island,0.391304347826087
E 172ND ST BET LONGFELLOW & BRYANT AVES,Bronx,0.391304347826087
E173RD ST&BRYANT AVE WB AP BT LONGFELLOW & BRYANT,Bronx,0.391304347826087
GLEN AV,Staten Island,0.391304347826087
WOODSTOCK AV/GLEN AV,Staten Island,0.391304347826087
BARD AVE BET CASTLETON AVE & ST AUSTINS PL,Staten Island,0.391304347826087
N/B OAKLAND AVE @ CASTLETON AVE,Staten Island,0.391304347826087
DIAMOND STREET,Brooklyn,0.3888888888888889
MALCOLM X BOULEVARD,Brooklyn,0.3888888888888889
BOLLER AV,Bronx,0.3888888888888889
W/B 21 AVE @ 33 ST,Queens,0.3888888888888889
W 122 ST,Manhattan,0.3888888888888889
Hewlett Street,Queens,0.3888888888888889
Austin Street,Queens,0.3888888888888889
RUSSELL STREET,Brooklyn,0.3888888888888889
NEWEL STREET,Brooklyn,0.3888888888888889
W 120TH ST BET LENOX AVE & MT MORRIS PARK W,Manhattan,0.3888888888888889
W 124TH ST BET 5TH AVE & MT MORRIS PARK W,Manhattan,0.3888888888888889
BEECH AV,Queens,0.38461538461538464
MURDOCK AV,Queens,0.38461538461538464
HUDSON ST,Manhattan,0.38461538461538464
149 AV,Queens,0.38461538461538464
W 121 ST,Manhattan,0.38461538461538464
HARRISON AV,Brooklyn,0.38461538461538464
HARLEM RIVER DR SR W,Manhattan,0.38461538461538464
Vandervoort Avenue,Brooklyn,0.38461538461538464
BRITTON ST,Bronx,0.38461538461538464
NORMAN AV,Brooklyn,0.38461538461538464
97 PL,Queens,0.38461538461538464
POST AV,Staten Island,0.38461538461538464
HARMAN ST,Queens,0.38461538461538464
Bedford Avenue,Brooklyn,0.3829787234042553
N/B E 96 ST @ FLATLANDS AVE,Brooklyn,0.38095238095238093
UTICA AVE SB APPROACH TO FLATLANDS AVE,Brooklyn,0.38095238095238093
E 103 ST,Brooklyn,0.38095238095238093
MALTA ST,Brooklyn,0.38095238095238093
Springfield Boulevard,Queens,0.38095238095238093
9 ST,Brooklyn,0.38095238095238093
GRAND ST,Manhattan,0.3793103448275862
15 Avenue,Queens,0.375
MURIEL ST,Staten Island,0.375
S/B 138 ST @ 31 RD,Queens,0.375
N/B 138 ST @ 31 RD,Queens,0.375
139 ST,Queens,0.375
VANDERBILT AV,Brooklyn,0.375
CODDINGTON AV,Staten Island,0.375
BK BR EXIT RP/ROSE ST,Manhattan,0.375
HARKNESS AV,Brooklyn,0.37142857142857144
AV T,Brooklyn,0.37142857142857144
S/B VERNON BLVD @ 47 RD,Queens,0.3684210526315789
WEST 6th ST N.OF AVE U,Brooklyn,0.3684210526315789
N/B PEARSON ST @ AVE T,Brooklyn,0.3684210526315789
COYLE ST,Brooklyn,0.3684210526315789
LEFFERTS BLVD NB APPROACH TO ROCKAWAY BLVD,Queens,0.3684210526315789
122 PL,Queens,0.3684210526315789
E 102 ST,Brooklyn,0.3684210526315789
PELHAM PKWY S,Bronx,0.3684210526315789
HUMBOLDT ST,Brooklyn,0.3673469387755102
ELDER AV,Queens,0.36666666666666664
GERANIUM AV,Queens,0.36666666666666664
EASTCHESTER RD @ ALLERTON AVE,Bronx,0.36666666666666664
W/B LIE SERVICE ROAD @ CITY LINE,Queens,0.36666666666666664
NORTH 8 STREET,Brooklyn,0.36363636363636365
LAFAYETTE ST,Manhattan,0.3611111111111111
161 ST,Queens,0.36
QUINCY ST,Brooklyn,0.35714285714285715
E 77 ST,Manhattan,0.35714285714285715
KENT ST,Brooklyn,0.35714285714285715
PALMETTO ST/WYCKOFF AV,Brooklyn,0.35714285714285715
20 Road,Queens,0.35714285714285715
PALMETTO ST/MYRTLE AV,Brooklyn,0.35714285714285715
FDR DR ENTRY RP,Manhattan,0.35714285714285715
CHERRY AV,Queens,0.35714285714285715
Targee Street,Staten Island,0.35714285714285715
Plainview Avenue,Queens,0.35714285714285715
CALYER ST,Brooklyn,0.35714285714285715
PARSONS BLVD,Queens,0.3559322033898305
MEEKER AV,Brooklyn,0.35294117647058826
W/B PARK LANE SOUTH @ 105 ST (W LEG),Queens,0.35294117647058826
W 95 ST/RIVERSIDE DR,Manhattan,0.35
63rd RD APPROACH YELLOW STONE BLVD,Queens,0.35
PIKE STREET,Manhattan,0.34782608695652173
WINDSOR RD,Staten Island,0.34615384615384615
47 AV,Queens,0.34615384615384615
LENOX AV,Manhattan,0.3448275862068966
W/B RICHMOND RD @ MIDLAND AVE,Staten Island,0.3448275862068966
HYLAN BLVD SB BET BEDFORD AVE & MIDLAND AVE,Staten Island,0.3448275862068966
E 124 ST/5 AV,Manhattan,0.34375
HUDSON ST/HOLLAND TUN APPR,Manhattan,0.34285714285714286
ANDREWS AV,Queens,0.34285714285714286
4TH AVE RIGHT LANE BET 55TH & 56TH STS,Brooklyn,0.34285714285714286
S/B 18 AVE @ 56 ST,Brooklyn,0.34285714285714286
E BROADWAY,Manhattan,0.34285714285714286
BOWERY/MN BR APPR,Manhattan,0.34285714285714286
S 3 ST,Brooklyn,0.3333333333333333
HANNAH STREET,Staten Island,0.3333333333333333
HICKS ST BET ATLANTIC AVE & PACIFIC ST,Brooklyn,0.3333333333333333
DRIGGS AVENUE,Brooklyn,0.3333333333333333
S 5 ST,Brooklyn,0.3333333333333333
VARICK ST,Manhattan,0.3333333333333333
HUDSON AV,Brooklyn,0.3333333333333333
62 ST,Queens,0.3333333333333333
BQE WB EXIT 32 A,Brooklyn,0.3333333333333333
62nd DR WB APPROACH TO JUNCTION BLVD,Queens,0.3333333333333333
SOUTH ST,Manhattan,0.3333333333333333
W/B ALEXANDER HAMILTON BR N/S 2 LANES,Manhattan,0.3333333333333333
W/B 145TH ST BR @ W 145 ST,Manhattan,0.3333333333333333
N/B 164 ST @ JEWEL AVE,Queens,0.3333333333333333
E/B RICE AVE @ SLOSSON AVE,Staten Island,0.3333333333333333
MOUNT OLIVET CR,Queens,0.3333333333333333
BOERUM PL,Brooklyn,0.3333333333333333
PELHAM PKWY S/PELHAM PKWY EN WB/PELHAM PARKWAY GR*,Bronx,0.3333333333333333
BEADEL STREET,Brooklyn,0.3333333333333333
ROCKAWAY BLVD EB APPROACH TO LINDEN BLVD,Queens,0.3333333333333333
RALPH AVE N/O CLARENDON RD,Brooklyn,0.3333333333333333
IRVING AVENUE,Brooklyn,0.3333333333333333
S/B LEONARD ST @ NASSAU AVE,Brooklyn,0.3333333333333333
BOUNDARY AV,Staten Island,0.32608695652173914
GRANT PL,Staten Island,0.32608695652173914
E 211 ST,Bronx,0.325
BRONXDALE AV,Bronx,0.325
BROOME ST,Manhattan,0.32432432432432434
ARNOLD AV,Queens,0.32432432432432434
BROADWAY WB APPROACH TO 55TH ST,Queens,0.32432432432432434
LUDWIG ST,Staten Island,0.32432432432432434
LONGFELLOW AV,Bronx,0.3235294117647059
LENOX AVE NB APPROACH TO E 125TH ST,Manhattan,0.3225806451612903
WHITESTONE EXPRESSWAY SR E/22 AV,Queens,0.32142857142857145
Staten Island Railway Line,Staten Island,0.32142857142857145
WHITESTONE EXPRESSWAY SR W/ULMER ST,Queens,0.32142857142857145
NEW DORP LA/N RAILROAD AV,Staten Island,0.32142857142857145
WILLOUGHBY ST,Brooklyn,0.32
TRAVIS AV,Staten Island,0.32
REDFERN AV,Queens,0.3181818181818182
DRIGGS AV/MC GUINNESS BLVD S,Brooklyn,0.3181818181818182
BROOKLYN QUEENS EXPWY ET 34 WB,Brooklyn,0.3181818181818182
N/B MANHATTAN AVE @ NORMAN AVE,Brooklyn,0.3157894736842105
S/B MCGUINNESS BLVD @ NORMAN AVE,Brooklyn,0.3157894736842105
GANSEVOORT ST,Manhattan,0.3157894736842105
E 233RD ST BET MURDOCK & HILL AVES,Bronx,0.3157894736842105
201 ST,Queens,0.3157894736842105
45 AV,Queens,0.3125
HOLLY AV,Queens,0.3125
147 ST,Queens,0.3111111111111111
ROSELLE ST,Bronx,0.3103448275862069
BLONDELL AV,Bronx,0.3103448275862069
RIVERSIDE DR/W 79 ST/HHP NB EXIT 10 E,Manhattan,0.3103448275862069
GRAND ST BR,Brooklyn,0.30952380952380953
CHURCH AVENUE,Brooklyn,0.3088235294117647
77 ROAD,Queens,0.3076923076923077
E HOUSTON ST,Manhattan,0.3076923076923077
N/B TROTTING CO LANE @ METROPOL.ITAN AVE,Queens,0.30612244897959184
S/B 150 ST @ 75 AVE,Queens,0.30612244897959184
FLUSHING AVE @ VANDERBILT AVE,Brooklyn,0.30434782608695654
ST AUSTINS PL S,Staten Island,0.30303030303030304
CARY AV,Staten Island,0.30303030303030304
LISBON PL,Staten Island,0.3
7TH AVE SB APPROACH TO 9TH ST,Brooklyn,0.3
59 AVENUE,Queens,0.3
N RAILROAD AV,Staten Island,0.3
WATER ST,Brooklyn,0.2982456140350877
DOCK ST,Brooklyn,0.2982456140350877
HICKS ST,Brooklyn,0.2982456140350877
149 ST,Queens,0.2962962962962963
BQE EXT,Brooklyn,0.29508196721311475
Van Buren Street,Brooklyn,0.29411764705882354
78 AV,Queens,0.29411764705882354
WATERBURY ST,Brooklyn,0.2926829268292683
HHP SB EXIT 11,Manhattan,0.2916666666666667
106 ST,Queens,0.2916666666666667
WITHERS ST,Brooklyn,0.2916666666666667
DELANCEY ST,Manhattan,0.2911392405063291
75 AV,Queens,0.29069767441860467
W 125 ST,Manhattan,0.28888888888888886
ELIZABETH PL,Brooklyn,0.288135593220339
BQE ENT,Brooklyn,0.288135593220339
HARLEM RIVER DR,Manhattan,0.2857142857142857
69 AV,Queens,0.2857142857142857
COVENTRY RD,Brooklyn,0.2857142857142857
FIELDING ST,Bronx,0.2857142857142857
Madison Street,Manhattan,0.28125
SLOSSON AVE SB APPROACH TO WINDSOR RD,Staten Island,0.28125
77 RD,Queens,0.28
WORTH ST,Manhattan,0.28
W/B JOHNSON AVE @ HUMBOLDT ST,Brooklyn,0.27941176470588236
MAUJER ST,Brooklyn,0.27941176470588236
SLOSSON AVE NB APPROACH TO WINDSOR RD,Staten Island,0.2777777777777778
N/B 193 ST @ 47 AVE,Queens,0.2777777777777778
