Intersection,Borough,score
EDGECOMBE AVENUE,Manhattan,1.0
ANDERSON AVENUE,Bronx,1.0
S/B AMSTERDAM AVE @ W 110 ST,Manhattan,1.0
BAY 29 STREET,Brooklyn,1.0
MORNINGSIDE AV,Manhattan,1.0
BOGART ST,Brooklyn,1.0
VAN BUREN STREET,Brooklyn,1.0
NEWTOWN AVE,Queens,1.0
56 STREET,Queens,1.0
THAMES STREET,Brooklyn,1.0
TEN EYCK ST,Brooklyn,1.0
SCHOLES ST,Brooklyn,1.0
MESEROLE ST,Brooklyn,1.0
MYRTLE AVE BET EVERGREEN AVE & HART ST,Brooklyn,1.0
STOCKHOLM ST,Brooklyn,1.0
KNICKERBOCKER AVENUE,Brooklyn,1.0
SCOTT AVENUE,Brooklyn,1.0
Broadway Bridge,Manhattan,1.0
HUTCHINSON RIVER PARKWAY EAST,Bronx,1.0
32 AVENUE,Queens,1.0
W/B MILL BASIN BRIDGE @ BELT PKWY,Brooklyn,1.0
W/B E 14 ST (SERVICE) @ 1ST AVE,Manhattan,1.0
W/B E 14 ST (SERVICE RD) @ 1ST AVE,Manhattan,1.0
EAST 125 STREET,Manhattan,1.0
WEST 180 STREET,Bronx,1.0
SCHERMERHORN STREET,Brooklyn,1.0
W/B UNION TURNPIKE @ LANGDALE ST -,Queens,1.0
MIDDLETOWN RD,Bronx,1.0
S/B FRESH KILLS BRIDGE @ FOREST HILL RD-,Staten Island,1.0
WEST BURNSIDE AVENUE,Bronx,1.0
E/B W 235 ST @ INDEPENDENCE AVE,Bronx,1.0
3RD AVE APPROACHING E  72 ND ST,Manhattan,1.0
69 STREET,Queens,1.0
RUST STREET,Queens,1.0
BARTOW AVE APPROACH TO CO OP CITY BLVD,Bronx,1.0
STATE ST,Manhattan,1.0
New Dorp La WB Between,Staten Island,1.0
MARTLING AVENUE,Staten Island,1.0
WILLIAM/OLD SLIP,Manhattan,1.0
HALLECK STREET,Bronx,1.0
WATER STREET,Manhattan,1.0
BROADWAY BET MANHATTAN COLLEGE PKWY & W 251ST ST,Bronx,1.0
LIBERTY STREET,Manhattan,1.0
Bronx River Parkway,Bronx,1.0
BROADWAY EB APPROACH TO 55TH ST,Queens,1.0
SHORE PARKWAY,Brooklyn,1.0
ASTORIA BLVD N,Queens,1.0
BERRIAN BOULEVARD,Queens,1.0
S/B MADISON AVE (S OF W 142 ST @ 5 AVE),Manhattan,1.0
CO OP CITY BLVD APPROACH TO ROMBOUTS AVE,Bronx,1.0
BQE WB EXIT 37,Queens,1.0
W BROADWAY,Manhattan,1.0
ST ANNS AVENUE,Bronx,1.0
VAN CORTLANDT AVENUE EAST,Bronx,1.0
147 AV,Queens,1.0
S/B HUTCHINSON RIVER PKWY @ BARTOW AVE,Bronx,1.0
DUMONT AVENUE,Brooklyn,1.0
E 165TH ST BET E 164TH & CRAND CONCOURSE,Bronx,1.0
Grand Concourse NB Mainline,Bronx,1.0
N/B KENT AVE @ NORTH 14TH ST,Brooklyn,1.0
S/B MAIN ST @ 78 ROAD,Queens,1.0
N/B MAIN ST @ 78 ROAD,Queens,1.0
N/B MAIN ST @ 78 RD (N LEG),Queens,1.0
MADISON AVENUE BR APPROACH,Bronx,1.0
DAHLGREN PLACE,Brooklyn,1.0
109 AVENUE,Queens,1.0
WILLETS POINT BOULEVARD,Queens,1.0
HENRY HUDSON PKWY W,Bronx,1.0
E/B ST. CLAIRE PLACE @ RIVERSIDE DR,Manhattan,1.0
E/B ARTHUR KILL RD @ CORTELYOU AVE,Staten Island,1.0
N/B CLASSON AVE @ CLIFTON PLACE,Brooklyn,1.0
W/B SANTIAGO ST @ PALO ALTO AVE,Queens,1.0
E/B SANTIAGO ST @ PALO ALTO AVE,Queens,1.0
N/B GOULDEN AVE @ W 197 ST,Bronx,1.0
S/B GOULDEN AVE @ RESERVOIR AVE,Bronx,1.0
S/B RESERVOIR AVE @ STRONG ST,Bronx,1.0
E/B BRUCKNER EXPWY MAIN @ BRONX RIVR AVE,Bronx,1.0
NEW YORK AVENUE,Brooklyn,1.0
BROOKLYN AVENUE,Brooklyn,1.0
BROOKLYN AVE BTWN FULTON ST & HERKIMER ST,Brooklyn,1.0
N/B MARSH AVE @ S. I. MALL DR,Staten Island,1.0
STEINWAY AVENUE,Staten Island,1.0
NOME AVENUE,Staten Island,1.0
FLUSHING AVE @ RYERSON ST,Brooklyn,1.0
ADAMS PLACE,Bronx,1.0
128 ST,Queens,1.0
N/B ECKFORD ST @ NASSAU AVE,Brooklyn,1.0
S 8 ST,Brooklyn,1.0
BQE EB EN WILLIAMSBURG STREET E,Brooklyn,1.0
PARK LANE,Queens,1.0
N/B TRYON AVE @ E GUN HILL RD,Bronx,1.0
N/B PARK CIRCLE @ PARKSIDE AVENUE,Brooklyn,1.0
S 5 PL,Brooklyn,1.0
PELHAM BRIDGE,Bronx,1.0
FRESH MEADOW LANE,Queens,1.0
W/B EAST GUN HILL RD @ KINGS COLLEGE PL,Bronx,1.0
W/B EAST GUN HILL RD @ TRYON AVE,Bronx,1.0
EXIT FROM GOWANUS TO FT HAMILTON PKWY,Brooklyn,1.0
SOUTH 9 STREET,Brooklyn,1.0
CONEY ISL AVE & CORTELYOU RD BET AVE C & CORTELYOU,Brooklyn,1.0
W/B 75 AVE @ 150 ST,Queens,1.0
BROADWAY BET HENRY HUDSON PKWY SB EXIT & 256TH ST,Bronx,1.0
LINDENWOOD RD,Staten Island,1.0
KINGSTON AVENUE,Brooklyn,1.0
MAJOR DEEGAN EXPRESSWAY SR,Bronx,1.0
E/B E GUN HILL RD @ TRYON AVE,Bronx,1.0
RIVERDALE AV,Bronx,1.0
RIVERDALE AVENUE,Bronx,1.0
BROADWAY @ CARYL AVE (CITY LINE),Bronx,1.0
LAFAYETTE AVE @ TOMPKINS AVE,Brooklyn,1.0
W/B MACDONOUGH ST @ TOMPKINS AVE,Brooklyn,1.0
TOMPKINS AVENUE,Brooklyn,1.0
S/B GRAHAM AVE @ POWERS ST,Brooklyn,1.0
N/B GRAHAM AVE @ POWERS ST,Brooklyn,1.0
KATAN AV,Staten Island,1.0
DESBROSSES STREET,Manhattan,1.0
62nd DR SB APPR TO QUEENS BLVD,Queens,1.0
E/B 62 DR @ 97 ST,Queens,1.0
62nd DR EB APPR TO 97th ST,Queens,1.0
HUDSON STREET,Manhattan,1.0
S/B 108 ST @ 62 DR,Queens,1.0
PELHAM BR,Bronx,1.0
E/B 35 AVE @ 30 ST,Queens,1.0
34 AVENUE,Queens,1.0
Forest Ave,Staten Island,1.0
N/B YELLOWSTONE BLVD @ 67 DR,Queens,1.0
S/B NOSTRAND AVE @ VERNON AVE,Brooklyn,1.0
ROCKAWAY BLVD SB APPROACH TO INWOOD STREET,Queens,1.0
WEST 37 STREET,Manhattan,1.0
TRANTOR PLACE,Staten Island,1.0
W/B 69 RD @ GRAND CENTRAL PKWY,Queens,1.0
WOOLLEY AV,Staten Island,1.0
ROMBOUTS AVENUE,Bronx,1.0
N/B DECKER AVE @ PLAMER AVE,Staten Island,1.0
S/B DECKER AVE @ CATHERINE ST,Staten Island,1.0
VAN WYCK EXPRESSWAY EXIT 11 SB,Queens,1.0
ROCKAWAY BLVD EB APPROACH TO SUTPHIN BLVD,Queens,1.0
E/B PALMER AVE @ DECKER AVE,Staten Island,1.0
W/B UNION SQUARE E @ E 14 ST,Manhattan,1.0
5TH AVE BET 22ND & 23RD STS,Manhattan,1.0
N/B 188 ST @ PALO ALTO AVE,Queens,1.0
188 STREET,Queens,1.0
TARLTON STREET,Staten Island,1.0
GUY R BREWER BOULEVARD,Queens,1.0
E/B NASSAU AVE @ DIAMOND ST,Brooklyn,1.0
GREENPOINT AVE BET MOULTRIE & HUMBOLDT STS,Brooklyn,1.0
171 STREET,Queens,1.0
HENRY HUDSON PARKWAY EXIT NB,Manhattan,1.0
HHP NB EN W 79 ST EB,Manhattan,1.0
E/B HARVEST AVE @ BEMENT AVE,Staten Island,1.0
E/B CASTLETON AVE @ OAKLAND AVE,Staten Island,1.0
UNION HALL STREET,Queens,1.0
Woodhaven Blvd SB,Queens,1.0
S/B 192 ST @ 47 AVE,Queens,1.0
W/B 47 AVE @ 193 ST,Queens,1.0
HOMELAWN ST APPROACHING 169TH ST,Queens,1.0
GREELEY AVENUE,Staten Island,1.0
ROOSEVELT AV BR,Queens,1.0
51ST ST S/O 43RD AVE,Queens,1.0
E/B OLMPIA BLVD @ MIDLAND AVE,Staten Island,1.0
W/B GCP MAIN RDWY @ CITY LINE,Queens,1.0
E/B MERRICK BLVD@244 ST-HOOK CREEK BLVD,Queens,1.0
E/B MERRICK BLVD@HOOK CREEK BLVD(C LINE),Queens,1.0
W/B MERRICK BLVD@HOOK CREEK BLVD-244 ST,Queens,1.0
W/B E 135 ST (MAIN RD) @ MADISON AVE,Manhattan,1.0
S/B MIDLAND AVE OLMPIA BLVD,Staten Island,1.0
N/B MIDLAND AV @ OLMPIA BLVD,Staten Island,1.0
ROOSEVELT IS BRIDGE,Manhattan,1.0
93 AVENUE,Queens,1.0
110 AV,Queens,1.0
ASTORIA BLVD S,Queens,1.0
HIMROD STREET,Queens,1.0
FAIRVIEW AVENUE,Queens,1.0
HAMPTON STREET,Queens,1.0
Shore Pkwy North,Brooklyn,1.0
WORTH STREET,Manhattan,1.0
EAST BROADWAY,Manhattan,1.0
BOWERY BET DIVISION & PELL STS,Manhattan,1.0
S/B E 7 ST @ AVE C,Brooklyn,1.0
NEW YORK AVE @ EMPIRE BLVD,Brooklyn,1.0
RIKERS ISLAND BRIDGE,Queens,1.0
W/B HYLAN BLVD (W/LEG) @ GUYON AVE,Staten Island,1.0
E/B ONDERDONK AVE @ MENAHAN ST,Queens,1.0
ED KOCH QUEENSBORO BRIDGE,Manhattan,1.0
BQE WB ENTRANCE OLD FULTON ST,Brooklyn,1.0
AVENUE L,Brooklyn,1.0
CROSS ISLE PKWY SR S,Queens,1.0
E/B LIBERTY AVE @ POWELL ST,Brooklyn,1.0
HUNTS PT AVE APPROACH TO BRUCKNER BLVD SB,Bronx,1.0
SPOFFORD AVENUE,Bronx,1.0
South Conduit Ave EB Between Ramp from,Queens,1.0
Ocean Pkwy NB Service Rd Between,Brooklyn,1.0
AVENUE W,Brooklyn,1.0
HORACE HARDING EXPRESSWAY SR N,Queens,1.0
S/B 203 ST @ 32 AVE,Queens,1.0
WEST 1 STREET,Brooklyn,1.0
FULTON STREET,Brooklyn,1.0
CITY ISLAND AVENUE,Bronx,1.0
EAST 180 STREET,Bronx,1.0
E 170 ST,Bronx,1.0
W/B 9 STREET BRIDGE @ SMITH ST - 2 AVE,Brooklyn,1.0
ROGERS AV,Brooklyn,1.0
N/B WASHINGTON AVE @ LINCOLN PLACE,Brooklyn,1.0
S/B WASHINGTON AVE @ EASTERN PKWY,Brooklyn,1.0
OCEAN VIEW AVENUE,Brooklyn,1.0
CONEY ISLAND AVENUE,Brooklyn,1.0
JENNINGS ST BET VYSE AVE & HOE ST,Bronx,1.0
E167TH ST WB APPR BET VYSE AVE & HOE AVE,Bronx,1.0
WESTCHESTER AV,Bronx,1.0
WILLIAMSBURG BR EXIT S 5 ST,Brooklyn,1.0
SOUTHERN BOULEVARD,Bronx,1.0
HILLSIDE AVENUE,Queens,1.0
RIVERSIDE DRIVE EAST,Manhattan,1.0
BEACH CHANNEL DR APPROACH TO BEACH 116TH ST,Queens,1.0
260 STREET,Queens,1.0
DUNKIRK ST BTWN LIBERTY AVE & ARCADE AVE,Queens,1.0
EAST DRIVE,Brooklyn,1.0
DR THEODORE KAZIMIROFF BLVD EB APPROACH TO BX E,Bronx,1.0
BAISLEY BOULEVARD,Queens,1.0
7TH AVE APPROACH TO W 23RD ST,Manhattan,1.0
CENTRAL PARK NORTH,Manhattan,1.0
WILSON STREET,Staten Island,1.0
CENTRAL PARK N,Manhattan,1.0
SEAGIRT AVENUE,Queens,1.0
S/B SLOSSON AVE @ RICE AVE,Staten Island,1.0
E/B DIX AVE @ BEACH CHANNEL DR,Queens,1.0
N/B BEACH CHANNEL DRIVE @ HORTON AVE,Queens,1.0
WEST 116 STREET,Manhattan,1.0
N/B 1ST AVE (LEFT) @ E 34 ST,Manhattan,1.0
N/B 1ST AVE (LEFT TURN BAY) @ E 34 ST,Manhattan,1.0
N/B SLOSSON AVE @ RICE AVE,Staten Island,1.0
W 158 ST,Manhattan,1.0
MACKENZIE STREET,Brooklyn,1.0
W/B HARKNESS AVE (W LEG) @ KNAPP ST,Brooklyn,1.0
CLOVE RD,Staten Island,1.0
PURCELL STREET,Staten Island,1.0
126 STREET,Queens,1.0
SUTTON PLACE,Manhattan,1.0
BEACH CHANNEL DRIVE,Queens,1.0
BRIELLE AVENUE,Staten Island,1.0
GOWANUS EXPRESSWAY EXIT 24 WB,Brooklyn,1.0
MILFORD DRIVE,Staten Island,1.0
TIOGA STREET,Staten Island,1.0
E/B EYLANDT ST @ LUTEN AVE,Staten Island,1.0
LUTEN AVE NB AT AMBOY RD,Staten Island,1.0
BELT PKWY WB EN CROPSEY AVE SB,Brooklyn,1.0
BELT PARKWAY WB EN ROCKAWAY PKWY,Brooklyn,1.0
FINGERBOARD RD,Staten Island,1.0
W/B PARK CIRCLE @ PROSPECT PARK SW,Brooklyn,1.0
WOODSTOCK AV,Staten Island,1.0
SEAGIRT BLVD,Queens,1.0
VERMONT AV,Brooklyn,1.0
W/B METROPOLITAN AVE@TROTTING COURSE LAN,Queens,1.0
E/B METROPOLITAN AVE@TROTTING COURSE LAN,Queens,1.0
MADISON AVE BET E 124TH ST & E 123RD ST,Manhattan,1.0
BEACH 94 STREET,Queens,1.0
WEST 135TH ST WB APPROACH TO LENOX AVE,Manhattan,1.0
W 135 ST @ 5 AVE,Manhattan,1.0
LENOX AVE BET W 145TH & W 146TH STS,Manhattan,1.0
S/B BRONX PARK E @ WHITE PLAINS RD,Bronx,1.0
W 39 ST,Manhattan,1.0
E/B AVE V @ E 3 ST,Brooklyn,1.0
W/B AVE I @ E 2 ST,Brooklyn,1.0
E/B AVE I @ E 2 ST,Brooklyn,1.0
LILY POND AVE BTWN NARROWS RD S & MAJOR AVE,Staten Island,1.0
LILY POND AVE BTWN MCCLEAN & MAJOR AVES,Staten Island,1.0
QUEENS BLVD SERV RD BET. 71 AVE & 71 RD,Queens,1.0
S/B 5TH AVE @ E 42ND ST,Manhattan,1.0
TARGEE STREET,Staten Island,1.0
N/B 5 AVE @ E 139 ST,Manhattan,1.0
N/B 1ST AVE TO WILLIS AVE BRIDGE,Manhattan,1.0
WILLIS AV BR,Manhattan,1.0
BEACH 29 STREET,Queens,1.0
GERARD AVENUE,Bronx,1.0
RIVER AVENUE,Bronx,1.0
BEP EB EN 4 AV,Brooklyn,1.0
CPW 72 APPR,Manhattan,1.0
OLMSTEAD AVENUE,Bronx,1.0
N/B CASTLE HILL AVE @ E TREMONT AVE,Bronx,1.0
WILLIS AVENUE BRIDGE,Manhattan,1.0
W/B E 25 ST @ ASSER LEVY PLACE,Manhattan,1.0
