Intersection,Borough,score
SARATOGA AVENUE,Brooklyn,4.0
E 172 ST,Bronx,4.0
CYPRESS AV,Queens,4.0
9 AV,Manhattan,4.0
Cross Island Parkway,Queens,4.0
BRUCKNER EXWY,Bronx,4.0
Harlem River Shoreline,Manhattan,4.0
East 5 Street,Brooklyn,4.0
Driggs Avenue,Brooklyn,4.0
JACKIE ROBINSON PARKWAY,Queens,4.0
TILLARY STREET,Brooklyn,4.0
RICHMOND AVENUE,Staten Island,4.0
MOUNT MORRIS PARK W,Manhattan,4.0
AV U,Brooklyn,4.0
SUTTER AVENUE,Queens,4.0
47 AVENUE,Queens,4.0
UTICA AV,Brooklyn,4.0
AVENUE M,Brooklyn,4.0
WHITE PLAINS RD,Bronx,4.0
HOWARD AV,Brooklyn,4.0
METROPOLITAN AVENUE,Brooklyn,4.0
AV O,Brooklyn,4.0
PARK AVENUE,Brooklyn,4.0
E 15 ST,Brooklyn,4.0
GRAND ST,Manhattan,4.0
10 ST,Brooklyn,4.0
WHITESTONE EXWY,Queens,4.0
90 ST,Queens,4.0
130 ST,Queens,4.0
WESTCHESTER AV,Bronx,4.0
COURT STREET,Brooklyn,4.0
UNION TP,Queens,4.0
1 AV,Manhattan,4.0
SURF AVENUE,Brooklyn,4.0
E 233 ST,Bronx,4.0
BROOKLYN AV,Brooklyn,4.0
PACIFIC ST,Brooklyn,4.0
BENSON AV,Brooklyn,4.0
31 RD,Queens,4.0
AVE OF THE AMERICAS,Manhattan,4.0
103 AVENUE,Queens,4.0
KISSENA BOULEVARD,Queens,4.0
FLUSHING AV,Brooklyn,4.0
67 ST,Brooklyn,4.0
W 95 ST,Manhattan,4.0
W 97 ST,Manhattan,4.0
21 ST,Queens,4.0
E 23 ST,Manhattan,4.0
6 Avenue Line,Manhattan,4.0
Borden Avenue,Queens,4.0
JUNCTION BLVD,Queens,4.0
Shore Parkway,Brooklyn,4.0
BOONE AV,Bronx,4.0
ST NICHOLAS AV,Brooklyn,4.0
MANHATTAN BRIDGE,Manhattan,4.0
WOODHAVEN BOULEVARD,Queens,4.0
ROCKAWAY BOULEVARD,Queens,4.0
Avenue S,Brooklyn,4.0
Bike Path,Queens,4.0
38 ST,Queens,4.0
E 8 ST,Brooklyn,4.0
W 61 ST,Manhattan,4.0
6 AV,Manhattan,4.0
ROCKAWAY PKWY,Brooklyn,4.0
WESTMINSTER RD,Brooklyn,4.0
75 AVENUE,Queens,4.0
RICHMOND RD,Staten Island,4.0
KINGS HIGHWAY,Brooklyn,4.0
73 AV,Queens,4.0
COLUMBIA STREET,Brooklyn,4.0
CENTRAL PARK W,Manhattan,4.0
CENTRAL PK W,Manhattan,4.0
W 72 ST,Manhattan,4.0
75 Street,Queens,4.0
37 AVENUE,Queens,4.0
WESTCHESTER AVENUE,Bronx,4.0
EAST HOUSTON STREET,Manhattan,4.0
AVENUE OF THE AMERICAS,Manhattan,3.0
58 STREET,Queens,3.0
HICKS ST,Brooklyn,3.0
75 AV,Queens,3.0
WASHINGTON AV,Brooklyn,3.0
E HOUSTON ST,Manhattan,3.0
138 ST,Queens,3.0
E TREMONT AV,Bronx,3.0
UNION TURNPIKE,Queens,3.0
ASTORIA BOULEVARD NORTH,Queens,3.0
MORRIS AV,Bronx,3.0
WEBSTER AV,Bronx,3.0
CHURCH AVENUE,Brooklyn,3.0
ALBANY AV,Brooklyn,3.0
DELANCEY STREET,Manhattan,3.0
WOODHAVEN BLVD,Queens,3.0
31 AVENUE,Queens,3.0
ROCHESTER AVENUE,Brooklyn,3.0
MAC DOUGAL ST,Brooklyn,3.0
COOPER AVENUE,Queens,3.0
BAY STREET,Staten Island,3.0
MAIN STREET,Queens,3.0
PARKSIDE AVENUE,Brooklyn,3.0
New York Avenue,Brooklyn,3.0
78 RD,Queens,3.0
143 Street,Queens,3.0
GATES AV,Brooklyn,3.0
STRONG ST/RESERVOIR AV,Bronx,3.0
W 85 ST,Manhattan,3.0
3 Street,Staten Island,3.0
150 ST,Queens,3.0
Brighton Line,Brooklyn,3.0
East Drive,Manhattan,3.0
JANSEN ST,Staten Island,3.0
IRVING PL,Manhattan,3.0
E 196 ST,Bronx,3.0
W 71 ST,Manhattan,3.0
KENT AV,Brooklyn,3.0
HOR HARDING EXWY SR N,Queens,3.0
94 STREET,Queens,3.0
COURT ST,Brooklyn,3.0
147 AV,Queens,3.0
118 ST,Queens,3.0
JEROME AV,Brooklyn,3.0
128 ST,Queens,3.0
CENTRAL AV,Queens,3.0
RALPH AVENUE,Brooklyn,3.0
E 54 ST,Brooklyn,3.0
FULTON ST,Brooklyn,3.0
169 STREET,Queens,3.0
HUMBOLDT ST,Brooklyn,3.0
ROCKAWAY FREEWAY,Queens,3.0
41 AV,Queens,3.0
PELHAM PARKWAY SOUTH,Bronx,3.0
AVENUE X,Brooklyn,3.0
MARCY AVENUE,Brooklyn,3.0
MORRIS PARK AVENUE,Bronx,3.0
SOUTH STREET,Manhattan,3.0
CROSS ISLE PKWY SR S,Queens,3.0
FT HAMILTON PKWY,Brooklyn,3.0
EAST 25 STREET,Manhattan,3.0
Ocean Pkwy NB Service Rd Between,Brooklyn,3.0
COOPER AV,Queens,3.0
8 Avenue,Brooklyn,3.0
Crosstown Line,Brooklyn,3.0
GRANT AV,Brooklyn,3.0
97 STREET,Queens,3.0
90 Street,Queens,3.0
56 ST,Queens,3.0
SHORE PKWY,Brooklyn,3.0
Pelham Line,Bronx,3.0
85 Street,Brooklyn,3.0
97 ST,Queens,3.0
Carroll Street,Brooklyn,3.0
NORMAN AV,Brooklyn,3.0
CROSS BRONX EXWY,Bronx,3.0
F D R DRIVE,Manhattan,3.0
PROSPECT AVENUE,Bronx,3.0
W 79 ST,Manhattan,3.0
ROCKLAND AVENUE,Staten Island,3.0
SEAGIRT BOULEVARD,Queens,3.0
VAN WYCK EXPRESSWAY,Queens,3.0
WEST 72 STREET,Manhattan,3.0
MORGAN AVENUE,Brooklyn,3.0
