Intersection,Borough,score
Newtown Creek Shoreline,Queens,2.0
165 ST,Queens,2.0
SAPPHIRE ST,Queens,2.0
Jefferson Avenue,Brooklyn,2.0
F D R Drive,Manhattan,2.0
Manhattan Bridge Line,Manhattan,2.0
67 AVENUE,Queens,2.0
E 16 ST,Brooklyn,2.0
BROOKLYN QUEENS EP ET 32 B WB,Brooklyn,2.0
80 STREET,Queens,2.0
PITT STREET,Manhattan,2.0
EAST 169 STREET,Bronx,2.0
SOUTH ST,Manhattan,2.0
147 ST,Queens,2.0
HICKS STREET,Brooklyn,2.0
KLONDIKE AV,Staten Island,2.0
BOSCOMBE AVENUE,Staten Island,2.0
WATER ST,Brooklyn,2.0
ALLEN ST,Manhattan,2.0
HEMPSTEAD AVENUE,Queens,2.0
VAN SICLEN AVENUE,Brooklyn,2.0
WEST FARMS ROAD,Bronx,2.0
NORTH CONDUIT AVENUE,Brooklyn,2.0
WILLIAMSBURG BR APPROACH,Manhattan,2.0
9 Avenue,Manhattan,2.0
LENOX TERRACE PL,Manhattan,2.0
Olmstead Avenue,Bronx,2.0
MAJOR AV/SI EXWY EN EB,Staten Island,2.0
Vanderbilt Avenue,Staten Island,2.0
West 73 Street,Manhattan,2.0
East 150 Street,Bronx,2.0
Holland Avenue,Bronx,2.0
E 24 ST,Manhattan,2.0
Cypress Avenue,Brooklyn,2.0
ZWICKY AV,Staten Island,2.0
DISTRICT BOUNDARY,Queens,2.0
78 ST/7 AV,Brooklyn,2.0
78 ST/FT HAMILTON PKWY,Brooklyn,2.0
5 AV/TER DR,Manhattan,2.0
W 70 ST,Manhattan,2.0
Prospect Park West,Brooklyn,2.0
BRONX PARK E/SOUTHERN BLVD/MOSHOLU PARKWAY GREENW*,Bronx,2.0
Anderson St and Vermont Ave,Staten Island,2.0
White Plains Road Line,Bronx,2.0
HEWLETT ST,Queens,2.0
SPRINGFIELD BLVD,Queens,2.0
109 AV,Queens,2.0
West Street,Brooklyn,2.0
E 88 ST,Manhattan,2.0
GREENPOINT AV,Brooklyn,2.0
Silver Lake Park Rd and Therease Pl,Staten Island,2.0
Provost Street,Brooklyn,2.0
106 Avenue,Queens,2.0
E 156 ST,Bronx,2.0
West 162 Street,Bronx,2.0
WEST 110 STREET,Manhattan,2.0
Benson Avenue,Brooklyn,2.0
Audubon Avenue,Manhattan,2.0
St Nicholas Avenue,Brooklyn,2.0
Adams Street,Brooklyn,2.0
15 Street,Brooklyn,2.0
YELLOWSTONE BLVD,Queens,2.0
Rockaway Beach Boulevard,Queens,2.0
W 174 ST,Manhattan,2.0
30 Place,Queens,2.0
33 Street,Queens,2.0
Barnes Avenue,Bronx,2.0
SAUNDERS ST,Queens,2.0
PELHAM PARKWAY,Bronx,2.0
PULASKI BRIDGE,Brooklyn,2.0
UNION AVENUE,Brooklyn,2.0
ROOSEVELT IS BR,Manhattan,2.0
WHITESTONE EXPRESSWAY ET 14 NB,Queens,2.0
CLINTON STREET,Brooklyn,2.0
LONG ISLAND EXPRESSWAY,Queens,2.0
BRONX RIVER PARKWAY,Bronx,2.0
BRONX RIVER AVENUE,Bronx,2.0
160 STREET,Queens,2.0
ARTHUR KILL ROAD,Staten Island,2.0
SHELL ROAD,Brooklyn,2.0
KOSCIUSZKO BRIDGE,Brooklyn,2.0
FLUSHING BRIDGE,Queens,2.0
NORTH CHANNEL BRIDGE,Queens,2.0
EASTCHESTER BRIDGE,Bronx,2.0
EAST 174 ST BRIDGE,Bronx,2.0
GRAND CONCOURSE,Bronx,2.0
CITY IS BRIDGE,Bronx,2.0
CENTRAL PARK SOUTH,Manhattan,2.0
GRAND STREET BRIDGE,Queens,2.0
JUNCTION BOULEVARD,Queens,2.0
VANDERBILT AV,Brooklyn,2.0
SEAVIEW AVENUE,Brooklyn,2.0
NEW UTRECHT AVENUE,Brooklyn,2.0
GRAND AVENUE,Brooklyn,2.0
TRANS MANHATTAN EP NB ET 1 B,Manhattan,2.0
EAST 72 STREET,Manhattan,2.0
WEST TREMONT AVENUE,Bronx,2.0
W 6 ST,Brooklyn,2.0
EAST 170 STREET,Bronx,2.0
S/B PARK AVE @ E 60 ST,Manhattan,2.0
CLAY AVENUE,Bronx,2.0
VERNON BLVD,Queens,2.0
Davidson Avenue,Bronx,2.0
Flatbush Avenue,Brooklyn,2.0
E 71 ST,Manhattan,2.0
FRESH POND RD,Queens,2.0
58 Avenue,Queens,2.0
Vernon Boulevard,Queens,2.0
BELT PKWY,Brooklyn,2.0
New Jersey Avenue,Brooklyn,2.0
45 Street,Queens,2.0
Sea Beach Line,Brooklyn,2.0
WYCKOFF AV,Brooklyn,2.0
79 ST,Queens,2.0
Sheepshead Bay Road,Brooklyn,2.0
BERGEN ST,Brooklyn,2.0
AV V,Brooklyn,2.0
ALLISON AV,Staten Island,2.0
FOSTER AV,Brooklyn,2.0
East 94 Street,Brooklyn,2.0
Nassau Street,Brooklyn,2.0
Garrison Avenue,Bronx,2.0
Whittier Street,Bronx,2.0
69 ST,Queens,2.0
QNSBORO BR EXIT,Manhattan,2.0
HUGH L CAREY TUNNEL APPROACH,Brooklyn,2.0
W 106 ST,Manhattan,2.0
11 STREET,Queens,2.0
YORK AVENUE,Manhattan,2.0
OLD TOWN RD,Staten Island,2.0
CADMAN PLAZA WEST,Brooklyn,2.0
MAJOR DEEGAN EXPWY ET 3 NB,Bronx,2.0
WEST END AVENUE,Manhattan,2.0
W 145 ST,Manhattan,2.0
AVENUE V,Brooklyn,2.0
E 125 ST,Manhattan,2.0
71 AV,Queens,2.0
69 Street,Queens,2.0
0.000 Undefined,Manhattan,2.0
Cross Bronx Expressway,Bronx,2.0
Mc Guinness Boulevard,Brooklyn,2.0
East 7 Street,Brooklyn,2.0
Bruckner Expressway,Bronx,2.0
West 79 Street,Manhattan,2.0
New Lots Avenue,Brooklyn,2.0
164 ST,Queens,2.0
SCHMIDTS LA,Staten Island,2.0
AV H,Brooklyn,2.0
GLENWOOD RD,Brooklyn,2.0
ASCH LOOP,Bronx,2.0
Bqe Eb Entrance Hamilton Ave Sb,Brooklyn,2.0
Pedestrian Path,Brooklyn,2.0
223 ST,Queens,2.0
47 Avenue,Queens,2.0
West 97 Street,Manhattan,2.0
East 138 Street,Bronx,2.0
57 ST,Brooklyn,2.0
West 219 Street,Manhattan,2.0
Humboldt Street,Brooklyn,2.0
Lirr Main Line,Queens,2.0
WINDERMERE RD,Staten Island,2.0
PELHAM PARKWAY GREENWAY,Bronx,2.0
48 Avenue,Queens,2.0
JOHNSON AVENUE,Brooklyn,2.0
AVENUE T,Brooklyn,2.0
BAY RIDGE PKWY APPROACH TO 7th AVE,Brooklyn,2.0
43 AVENUE,Queens,2.0
TRINITY PL,Manhattan,2.0
BEDFORD AV,Staten Island,2.0
HANSON PL,Brooklyn,2.0
W/B E 23RD ST @ BROADWAY,Manhattan,2.0
WADSWORTH AVENUE,Manhattan,2.0
LINDEN BLVRD BTWN MEXICO ST & FARMERS BLVRD,Queens,2.0
BAY RIDGE AVENUE,Brooklyn,2.0
DE KALB AV,Queens,2.0
LEFFERTS BLVD,Queens,2.0
STUYVESANT PL,Staten Island,2.0
CENTRE STREET,Manhattan,2.0
PAERDEGAT AV N,Brooklyn,2.0
AV D,Brooklyn,2.0
WEST 35 STREET,Manhattan,2.0
E 29 ST,Brooklyn,2.0
AV J,Brooklyn,2.0
JJ BYRNE MEMORIAL BRIDGE,Queens,2.0
WILLIAMSBRIDGE RD,Bronx,2.0
GREENPOINT AVENUE,Brooklyn,2.0
FREEMAN STREET,Brooklyn,2.0
SOUTHERN BLVD,Bronx,2.0
49 ST,Brooklyn,2.0
BAY PARKWAY,Brooklyn,2.0
WEST 167 STREET,Bronx,2.0
RALPH AVE S/O CLARENDON RD,Brooklyn,2.0
FRANKLIN ST,Brooklyn,2.0
149 STREET,Queens,2.0
HEMPSTEAD AV,Queens,2.0
CHERRY AVENUE,Queens,2.0
PITKIN AV,Queens,2.0
W/B BROOKLYN BRIDGE,Manhattan,2.0
FDR DR NB EN BK BR,Manhattan,2.0
SANFORD AV,Queens,2.0
CHERRY AV,Queens,2.0
STANHOPE STREET,Brooklyn,2.0
64 STREET,Brooklyn,2.0
PARSONS BOULEVARD,Queens,2.0
DIAMOND STREET,Brooklyn,2.0
SHORE BLVD,Brooklyn,2.0
LEVERETT AV,Staten Island,2.0
AVENUE D,Brooklyn,2.0
CORNELIA ST,Queens,2.0
MURDOCK AV,Queens,2.0
HUTCHINSON RIVER PARKWAY,Bronx,2.0
STATE STREET,Manhattan,2.0
JEROME AVENUE,Bronx,2.0
94 Street,Queens,2.0
Hudson Street,Manhattan,2.0
Eldert Lane,Brooklyn,2.0
HORATIO ST,Manhattan,2.0
62 DR,Queens,2.0
30 ST,Queens,2.0
Norman Avenue,Brooklyn,2.0
Eunice Place,Staten Island,2.0
PRINCE ST,Manhattan,2.0
MANHATTAN AV,Brooklyn,2.0
12 Avenue,Brooklyn,2.0
PRESIDENT ST,Brooklyn,2.0
23 ST,Queens,2.0
74 Street,Queens,2.0
45 Avenue,Queens,2.0
192 Street,Queens,2.0
73 Avenue,Queens,2.0
PALMER AV,Staten Island,2.0
East 24 Street,Brooklyn,2.0
9 ST,Brooklyn,2.0
ROSS AV,Staten Island,2.0
BEMENT AV,Staten Island,2.0
Between 88th Ave and 88th Rd,Queens,2.0
153 Street,Queens,2.0
Brooklyn Queens Expwy Et 33 Eb,Brooklyn,2.0
Ed Koch Queensboro Bridge Appr,Manhattan,2.0
46 RD,Queens,2.0
ROOSEVELT AV,Queens,2.0
51 Street,Queens,2.0
Park Avenue,Bronx,2.0
PEARL ST,Manhattan,2.0
OLYMPIA BLVD,Staten Island,2.0
East 33 Street,Manhattan,2.0
64 ST,Brooklyn,2.0
41 Street,Brooklyn,2.0
MIDLAND AV,Staten Island,2.0
79 Avenue,Queens,2.0
West Drive,Brooklyn,2.0
7 AV/C P 7 AV APPR,Manhattan,2.0
WINDSOR RD,Staten Island,2.0
E 33 ST,Manhattan,2.0
18 AV,Brooklyn,2.0
41 Avenue,Queens,2.0
De Graw Street,Brooklyn,2.0
35 Avenue,Queens,2.0
Springfield Boulevard,Queens,2.0
AMTRAK RR,Manhattan,2.0
37 Avenue,Queens,2.0
East 117 Street,Manhattan,2.0
SENECA AV,Queens,2.0
Johnson Street,Brooklyn,2.0
CHISHOLM ST,Staten Island,2.0
TROTTING COURSE LA,Queens,2.0
East 80 Street,Manhattan,2.0
VAN DAM ST,Queens,2.0
E NEW YORK AV,Brooklyn,2.0
Chauncey Street,Brooklyn,2.0
MAC DONOUGH ST,Brooklyn,2.0
37 Street,Brooklyn,2.0
Thomas S Boyland Street,Brooklyn,2.0
10 Avenue,Manhattan,2.0
MASPETH AV,Brooklyn,2.0
Clinton Street,Manhattan,2.0
VOORHIES AV,Brooklyn,2.0
BAYCHESTER AV,Bronx,2.0
Centre Street,Brooklyn,2.0
Beech Avenue,Queens,2.0
W 160 ST,Manhattan,2.0
Greene Avenue,Brooklyn,2.0
DE GRAW ST,Brooklyn,2.0
9 Street,Brooklyn,2.0
Jefferson Street,Brooklyn,2.0
AVENUE A,Manhattan,2.0
MONROE ST,Brooklyn,2.0
184 ST,Queens,2.0
MAYFLOWER AV,Bronx,2.0
Hemlock Street,Brooklyn,2.0
E 38 ST,Brooklyn,2.0
HOE AV,Bronx,2.0
Avenue T,Brooklyn,2.0
East 3 Street,Brooklyn,2.0
Central Avenue,Brooklyn,2.0
BRYANT AV,Bronx,2.0
78 AV,Queens,2.0
79 Street,Queens,2.0
East 87 Street,Brooklyn,2.0
East 32 Street,Brooklyn,2.0
CONGRESS ST,Brooklyn,2.0
Dr M L King Jr Boulevard,Bronx,2.0
89 ST,Queens,2.0
93 ST,Queens,2.0
E 9 ST,Brooklyn,2.0
78 Avenue,Queens,2.0
ELDERT LA,Brooklyn,2.0
Avenue L,Brooklyn,2.0
97 Street,Queens,2.0
Harden Street,Brooklyn,2.0
East 51 Street,Manhattan,2.0
MERMAID AV,Brooklyn,2.0
77 ST,Brooklyn,2.0
E 243 ST,Bronx,2.0
Paerdegat Avenue South,Brooklyn,2.0
110 ST,Queens,2.0
GRND CNTRL PKWY SR W,Queens,2.0
72 Street,Queens,2.0
East 49 Street,Brooklyn,2.0
131 Street,Queens,2.0
WALTON AV,Bronx,2.0
E 49 ST,Brooklyn,2.0
60 Street,Brooklyn,2.0
Sherman Avenue,Manhattan,2.0
44 DR,Queens,2.0
36 ST,Queens,2.0
36 Avenue,Queens,2.0
DITMAS AV,Brooklyn,2.0
West 11 Street,Brooklyn,1.0
Wadsworth Avenue,Manhattan,1.0
Harlem River Drive Service Rd W,Manhattan,1.0
Baughman Place,Brooklyn,1.0
Johnson St and Myrtle Ave,Brooklyn,1.0
Green Street,Brooklyn,1.0
Peters Place,Bronx,1.0
Belt Parkway Exit 14 Eastbound,Brooklyn,1.0
JAY ST/HIGH ST,Brooklyn,1.0
East 236 Street,Bronx,1.0
GARDNER AV,Brooklyn,1.0
82 Street,Queens,1.0
AV K,Brooklyn,1.0
HIGHLAWN AV,Brooklyn,1.0
E 53 ST,Brooklyn,1.0
W 13 ST,Brooklyn,1.0
Newton Street,Brooklyn,1.0
Flatbush Avenue Greenway,Brooklyn,1.0
Paulding Avenue,Bronx,1.0
BUSSING AV,Bronx,1.0
East 220 Street,Bronx,1.0
St Ouen Street,Bronx,1.0
Kingston Avenue,Brooklyn,1.0
West 15 Street,Brooklyn,1.0
Clove Road,Staten Island,1.0
GROTON ST,Queens,1.0
COLUMBUS CIR,Manhattan,1.0
Columbus Circle,Manhattan,1.0
Grand Street,Brooklyn,1.0
PAULDING AV/GUNTHER AV,Bronx,1.0
Gowanus Creek Shoreline,Brooklyn,1.0
PEARSON ST,Brooklyn,1.0
Avenue I,Brooklyn,1.0
BQE WB EN MC GUINNESS BLVD S,Brooklyn,1.0
Engert Avenue,Brooklyn,1.0
E 12 RD,Queens,1.0
13 AV,Brooklyn,1.0
Mill Avenue,Brooklyn,1.0
12 AV,Brooklyn,1.0
E 42 ST,Brooklyn,1.0
108 ST,Queens,1.0
East 243 Street,Bronx,1.0
70 ST,Brooklyn,1.0
East 42 Street,Manhattan,1.0
West 179 Street,Manhattan,1.0
East 105 Street,Brooklyn,1.0
73 ST,Brooklyn,1.0
WASHINGTON BRG/W 181 ST,Manhattan,1.0
Silver Lake Cemetery Boundary,Staten Island,1.0
CAMPUS RD,Staten Island,1.0
TRANS MANHATTAN EP SB EN WASH BR,Manhattan,1.0
CENTER DR/AVE OF THE AMERICAS,Manhattan,1.0
Gardner Avenue,Brooklyn,1.0
15 AV,Brooklyn,1.0
69 DR,Queens,1.0
Bayside Cemetery Boundary,Queens,1.0
231 ST,Queens,1.0
Goethals Avenue,Queens,1.0
Freeman Street,Brooklyn,1.0
50 ST,Queens,1.0
West 168 Street,Bronx,1.0
POLO PL,Queens,1.0
BERRIMAN ST,Brooklyn,1.0
Bloomfield Street,Manhattan,1.0
Avenue V,Brooklyn,1.0
CONCOURSE VLG W/E 161 ST,Bronx,1.0
Concourse Village East,Bronx,1.0
W 12 ST,Brooklyn,1.0
Cromwell Avenue,Bronx,1.0
Between E. 150th St and E. 151st St,Bronx,1.0
Between E. 150th St and 151st St,Bronx,1.0
Loring Place South,Bronx,1.0
Maurice Avenue,Queens,1.0
BAY RIDGE AV,Brooklyn,1.0
Concourse Line,Bronx,1.0
Morris Avenue,Bronx,1.0
LENOX RD,Brooklyn,1.0
College Avenue,Bronx,1.0
East 169 Street,Bronx,1.0
Isabella Avenue,Staten Island,1.0
PINKNEY AV,Bronx,1.0
JACKSON AV/DUTCH KILLS ST,Queens,1.0
Skillman Avenue,Queens,1.0
Jerome Avenue,Bronx,1.0
VIRGINIA AV,Bronx,1.0
E 52 ST,Brooklyn,1.0
W 7 ST,Brooklyn,1.0
PALISADE AV/EDSALL AV,Bronx,1.0
ST RAYMONDS AV,Bronx,1.0
East 53 Street,Brooklyn,1.0
East 74 Street,Manhattan,1.0
AMUNDSON AV,Bronx,1.0
East Broadway,Manhattan,1.0
East 167 Street,Bronx,1.0
DITMAS AVENUE,Brooklyn,1.0
23 Road,Queens,1.0
E 163 ST/HUNTS PT AV,Bronx,1.0
TELLER AV,Bronx,1.0
East 179 Street,Bronx,1.0
DURYEA AV/PRATT AV,Bronx,1.0
39 Avenue,Queens,1.0
134 Street,Queens,1.0
72 ST CROSS DR @ 5 AVE,Manhattan,1.0
AMSTERDAM AVE BET 70th & 71st ST,Manhattan,1.0
20 STREET,Brooklyn,1.0
243 ST,Queens,1.0
CONCORD AVENUE,Bronx,1.0
ARGYLE ROAD,Brooklyn,1.0
RUGBY ROAD,Brooklyn,1.0
SOUTH CONDUIT AVENUE,Queens,1.0
BX PARK EAST SB APPROACH TO ALLERTON AVE,Bronx,1.0
BX PARK EAST NB EXIT TO ALLERTON AVE,Bronx,1.0
BX PARK EAST NB APPROACH TO ALLERTON,Bronx,1.0
E 79TH ST BET 5TH AVE & MADISON AVE,Manhattan,1.0
65TH ST APPROACHING 4TH AVE(UNDER BQE),Brooklyn,1.0
ALLERTON AVE WB APPROACH TO BX PARK EAST,Bronx,1.0
ALLERTON AVE EB APPROACH TO BARKER AVE,Bronx,1.0
WESTCHESTER AVE BET CAULDWELL & TRINITY AVES,Bronx,1.0
W 72 ST ENT TO PK,Manhattan,1.0
BROOK AVENUE,Bronx,1.0
S/B 130 ST @ 111 AVE,Queens,1.0
S/B SPRINGFIELD BLVD @ 109 AVE,Queens,1.0
Hylan Blvd NB Between,Staten Island,1.0
W/B FLATLANDS AVE @ E 96 ST,Brooklyn,1.0
N/B SPRINGFIELD BLVD @ 109 AVE,Queens,1.0
BRONX RIVER SHORELINE,Bronx,1.0
E/B FLATLANDS AVE @ E 96 ST,Brooklyn,1.0
3RD AVE APPROACH TO EAST 86TH ST,Manhattan,1.0
E/B KOSCIUSZKO BRIDGE @ TO L.I.E.,Queens,1.0
E/B UNION TURNPIKE @ CHEVY CHASE ST,Queens,1.0
FDR DR NB EN E HOUSTON ST,Manhattan,1.0
Crossbay SB Between 11th and 13th Rds.,Queens,1.0
S/B 5TH AVE @ 60 ST,Brooklyn,1.0
S/B 7AVE @  60 ST,Brooklyn,1.0
BROADWAY WB APPROACH TO 59TH ST,Queens,1.0
S/B WYTHE AVE @ N 8 ST,Brooklyn,1.0
NORTH 14 STREET,Brooklyn,1.0
E/B METROPOLITAN AVE @ FRESH POND RD,Queens,1.0
N/B 5TH AVE @ 60 ST,Brooklyn,1.0
N/B 5 AVE @ 60 ST,Brooklyn,1.0
4TH AVE APPROACHING 60TH ST,Brooklyn,1.0
N/B FT HAMILTON PKWY @ 60 ST,Brooklyn,1.0
N/B 8 AVE  @ 60 ST,Brooklyn,1.0
N/B 7AVE @  60 ST,Brooklyn,1.0
S/B FRANKLIIN  ST @ NORTH 14TH ST,Brooklyn,1.0
BRONXWOOD AVENUE,Bronx,1.0
KENT STREET,Brooklyn,1.0
MANH BR APPR,Brooklyn,1.0
E 106 ST,Manhattan,1.0
YORK AVE BET E 82ND ST & E 83RD ST,Manhattan,1.0
Hamilton Ave NB,Brooklyn,1.0
BAY 54 ST/CROPSEY AV,Brooklyn,1.0
JACKIE ROBINSON PKWY WB EXIT 6/JRP WB EXIT 6,Queens,1.0
102 Street,Queens,1.0
26 ST,Brooklyn,1.0
Grant Avenue,Bronx,1.0
Gulf Avenue,Staten Island,1.0
Throop Avenue,Brooklyn,1.0
201 ST,Queens,1.0
Cross Bronx Expwy Et 4 A Eb,Bronx,1.0
Tyrellan Avenue,Staten Island,1.0
Ft Washington Avenue,Manhattan,1.0
Langdale Street,Queens,1.0
Jewel Avenue,Queens,1.0
Negundo Avenue,Queens,1.0
162 ST,Queens,1.0
VERNON AV,Staten Island,1.0
POUCH TER,Staten Island,1.0
ORCHARD ST,Manhattan,1.0
SLOSSON TERR,Staten Island,1.0
Fountain Avenue,Brooklyn,1.0
Unnamed Street,Brooklyn,1.0
Morgan Street,Queens,1.0
Richmond Avenue,Staten Island,1.0
Beach Walk,Brooklyn,1.0
FILLMORE AV,Brooklyn,1.0
Cross Bronx Expwy Et 3 Wb,Bronx,1.0
101 Street,Queens,1.0
Greenwood Avenue,Brooklyn,1.0
Manhattan Bridge Bike Path,Brooklyn,1.0
156 Avenue,Queens,1.0
ROCKAWAY BLVD/CROSS BAY BLVD,Queens,1.0
Flushing River Shoreline,Queens,1.0
BANNER AV,Brooklyn,1.0
E 17 ST/PARK AV S,Manhattan,1.0
Poplar Avenue,Queens,1.0
12 ST,Queens,1.0
DASH PL,Bronx,1.0
SHE NB EXIT,Bronx,1.0
N/B FLATBUSH AVE @ RUTLAND RD,Brooklyn,1.0
CASS PL,Brooklyn,1.0
WEST DR ENTRANCE FROM W 72 ST,Manhattan,1.0
WAKEMAN PLACE,Brooklyn,1.0
Linden Blvd EB,Brooklyn,1.0
E/B PARK LANE SOUTH @ 104 ST,Queens,1.0
MONTGOMERY STREET,Brooklyn,1.0
PRESIDENT STREET,Brooklyn,1.0
Linden Blvd WB,Brooklyn,1.0
NOSTRAND AVENUE,Brooklyn,1.0
E/B GCP S SERVICE RD @ CITY LINE,Queens,1.0
S/B E 15 ST @ EMMONS AVE,Brooklyn,1.0
VYSE AVE BET FREEMAN & JENNING STS,Bronx,1.0
NB BRIDGE ENTRANCE ON MCGUINNESS (N/O FREEMAN),Brooklyn,1.0
Clarkson Ave,Brooklyn,1.0
BROOKLYN AVE BTWN HAWTHORNE & WINTHROP STS,Brooklyn,1.0
116 AVENUE,Queens,1.0
LUTEN AVE NB AT EYLANDT ST,Staten Island,1.0
N/B LUTEN AVE @ EYLANDT ST,Staten Island,1.0
LUTEN AVE SB AT JANSEN ST,Staten Island,1.0
COLLEGE PT BLVD,Queens,1.0
N/B 164 ST @ 59 AVE,Queens,1.0
S/B PELHAM BRIDGE @  BRUCKNER EXPWY,Bronx,1.0
E/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,Bronx,1.0
EASTERN BLVD BR,Bronx,1.0
UNION STREET,Brooklyn,1.0
WEST 26 STREET,Manhattan,1.0
DITMARS BOULEVARD,Queens,1.0
WHITESTONE EXPWY SB EN ULMER ST,Queens,1.0
72 ST CROSS DR @ EAST DR,Manhattan,1.0
W/B FULTON ST @ CLASSON AVE,Brooklyn,1.0
W/B GATES AVE @ CLASSON AVE,Brooklyn,1.0
W/B CLIFTON PLACE @ CLASSON AVE,Brooklyn,1.0
W 168 ST,Manhattan,1.0
W 174TH ST APPROACHING BROADWAY,Manhattan,1.0
W 165 ST,Manhattan,1.0
WEST DR BET ENTRANCE TO THE PARK & 3RD ST,Brooklyn,1.0
MOON AVENUE,Staten Island,1.0
4TH AVE APPROACHING 92ND ST,Brooklyn,1.0
S/B 7 AVENUE @ 92 STREET,Brooklyn,1.0
W/B 57 AVE @ 92 ST,Queens,1.0
LIBERTY AVE EB APPROACH TO 93RD ST,Queens,1.0
ROCKAWAY BLVD APPROACH TO 93RD ST,Queens,1.0
LIBERTY AVE APPROACH TO 93RD ST,Queens,1.0
McGuiness Blvd NB Between,Brooklyn,1.0
S/B GUY R. BREWER BLVD @ 122 AVE,Queens,1.0
N/B UNION SQUARE EAST @ E 17 ST,Manhattan,1.0
QUEENS BLVD SER RD APPROA TO JUNCTION BLVD,Queens,1.0
E/B BRICK TOWN PLAZA MALL@VETERANS RD W,Staten Island,1.0
BERGEN STREET,Brooklyn,1.0
BILLOP AVENUE,Staten Island,1.0
N/B VIRGINIA AVE @ GLEASON AVE,Bronx,1.0
E/B AVE C @ E 7 ST,Brooklyn,1.0
N/B PELHAM BRIDGE @  BRUCKNER EXPWY,Bronx,1.0
EMPIRE BLVD WB APPROACH TO FRANKLIN AVE,Brooklyn,1.0
BROADWAY EB APPROACH TO 37TH AVE,Queens,1.0
BQE SR,Queens,1.0
31 ST,Queens,1.0
S/B 34 ST @ 37 AVE,Queens,1.0
ELIOT AVENUE,Queens,1.0
BRONXDALE AV,Bronx,1.0
W/B E 174 ST BRIDGE @ BOONE AVE,Bronx,1.0
HYLAN BLVD BTWN LAMPORT BLVD & CLOVE RD,Staten Island,1.0
E/B JACKIE ROBINSON PKWY @ VERMONT PL,Queens,1.0
RICHARDSON STREET,Brooklyn,1.0
S/B UNION SQUARE EAST @ E 16 ST,Manhattan,1.0
E/B PROSPECT PK S/W(E LEG) @16 ST SLP RD,Brooklyn,1.0
S/B PROSPECT PK S/W @TERR./ WINDSOR PL,Brooklyn,1.0
S/B PROSPECT PK S/W(S LEG)@TERR./WIND.PL,Brooklyn,1.0
ROSSVILLE AV,Staten Island,1.0
HUNTS POINT AVE APPROACH TO BRUCKNER BLVD SB,Bronx,1.0
DEAN STREET,Brooklyn,1.0
CHESTNUT STREET,Brooklyn,1.0
PARK AVE @ CLERMONT AVE,Brooklyn,1.0
FLUSHING AVE @ VANDERBILT AVE,Brooklyn,1.0
HUGUENOT AV,Staten Island,1.0
S/B LENOX AVE @ W 135 ST,Manhattan,1.0
ADAM C POWELL BLVD,Manhattan,1.0
FR. DOUGLASS BLVD SB APPROACH TO W 135TH ST,Manhattan,1.0
N/B LENOX AVE @ W 135 ST,Manhattan,1.0
AMSTERDAM SB APPROACH TO W 135TH ST,Manhattan,1.0
E/B BROOKLYN BRIDGE,Manhattan,1.0
E 233RD ST BET JEROME AVE & VAN CORTLANDT PARK E,Bronx,1.0
E 233RD ST BET JEROME AVE & VAN CORTLANDT PARK EAST,Bronx,1.0
S/B LUTEN AVE @ EYLANDT ST,Staten Island,1.0
LUTEN AVE NB AT DEISUS ST,Staten Island,1.0
LUTEN AVE SB AT DEISUS ST,Staten Island,1.0
BROADWAY EB APPROACH TO 69TH ST,Queens,1.0
BROADWAY WB APPROACH TO 37TH AVE,Queens,1.0
COOPER ST-COOPER AV,Brooklyn,1.0
BURKE AV,Bronx,1.0
W/B HOOPER ST @ LEE AVE,Brooklyn,1.0
Shore Rd,Brooklyn,1.0
JUNCTION BLVD APPROACHING 62ND DR,Queens,1.0
N/B 108 ST @ 62 DR,Queens,1.0
CROOKE AVENUE,Brooklyn,1.0
GIVAN AVENUE,Bronx,1.0
GRAFE ST,Staten Island,1.0
PEARL STREET,Manhattan,1.0
E/B SENECA AVE @ GEORGE ST,Queens,1.0
W/B SENECA AVE @ GEORGE ST,Queens,1.0
CENTRAL AVENUE,Queens,1.0
SUNRISE HIGHWAY,Queens,1.0
4TH AVE APPROACHING 25TH ST,Brooklyn,1.0
N/B BELMONT AVE @ S CONDUIT AVE,Brooklyn,1.0
E/B S CONDUIT AVE @ BELMONT AVE,Brooklyn,1.0
62ND DR APPROACHING 98TH ST,Queens,1.0
62nd DR APPROACH TO 98th ST,Queens,1.0
E/B EMPIRE BLVD @ SCHENECTADY AVE,Brooklyn,1.0
PALMETTO ST BET ST NICHOLAS & MYRTLE AVES,Brooklyn,1.0
PALMETTO ST BET RIDGEWOOD PL & WYCKOFF AVE,Brooklyn,1.0
51 AVENUE,Queens,1.0
PARK DRIVE EAST,Queens,1.0
E/B 77 ROAD @ 164 ST,Queens,1.0
AMBOY RD,Staten Island,1.0
S/B AMSTERDAM AVE @ W 145 ST,Manhattan,1.0
W/B WINDERMERE RD @ STEUBEN  ST,Staten Island,1.0
BAY ST,Staten Island,1.0
W 71ST ST E/O AMSTERDAM AVE/BROADWAY,Manhattan,1.0
FRESH KILLS BRIDGE,Staten Island,1.0
UTICA AVE SB APPROACH TO FLATBUSH AVE,Brooklyn,1.0
EAST 175 STREET,Bronx,1.0
S/B WYTHE AVE @ S 4 ST,Brooklyn,1.0
BQE WESTBOUND EXIT 32 A,Brooklyn,1.0
EAST 16 STREET,Brooklyn,1.0
WEST 53 STREET,Manhattan,1.0
